Date,Level,Modules,Description1,Description2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Dec,I,Vold, Vold 2.1 (the revenge) firing up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Dec,D,Vold, Volume sdcard state changing -1 (Initializing) -> 0 (No-Media),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Dec,D,Vold, Volume sdcard state changing -1 (Initializing) -> 0 (No-Media),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Dec,D,Vold, Volume sdcard state changing -1 (Initializing) -> 0 (No-Media),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31-Dec,W,SystemServer, System clock is before 1970; setting to 1970.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Entered the Android system server!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Waiting for installd to be ready.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,Installer, connecting...,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Power Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Activity Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,ActivityManager, main() Waiting for mService at 2031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,ActivityManager, Memory class,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,W,BatteryStatsImpl, Couldn't get kernel wake lock stats,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,ActivityManager, main() Got mService at 2192 ,161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Display Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Scheduling Policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,DisplayManagerService, Display device added," DisplayDeviceInfo{""Built-in Screen"""," 1280 x 800, 60.000004 fps, density 160, 150.0 x 150.0 dpi, touch INTERNAL, FLAG_DEFAULT_DISPLAY, FLAG_ROTATES_WITH_CONTENT, FLAG_SECURE, FLAG_SUPPORTS_PROTECTED_BUFFERS, rotation 0, type BUILT_IN, address null}",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,I,SystemServer, Package Manager,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1-Jan,D,SELinuxMMAC, Couldn't find install policy /data/system/mac_permissions.xml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
